station,lat,lon,dist_m,path_length_diff_m,sta_lta_amp,peak_freq,pre_shot_rms
4509,46.145302,-122.068901,74608.56835805651,29.554605314900982,3.004507691607939,39.4287109375,7.098867426341325e-07
4510,46.1432,-122.067299,74741.69825551054,28.82854820038483,6.61980527393229,42.938232421875,2.147271375730588e-06
4511,46.140701,-122.067596,74990.04600361915,32.19440019998001,8.00004690596666,47.393798828125,2.3695348464224174e-06
4512,46.138,-122.066704,75209.68291271097,46.037968956981786,8.916106569792987,34.454345703125,1.4948632920950933e-06
4513,46.135601,-122.066101,75412.88992416639,49.76242073258618,5.334688831686237,45.71533203125,4.091854970295295e-06
4514,46.133301,-122.065598,75611.11683361432,47.95636918221135,6.8345096508266865,44.464111328125,5.899517164430407e-06
4515,46.132401,-122.062401,75568.94548929333,40.05450207837566,7.091583646259341,24.017333984375,3.699962997743245e-07
4516,46.132,-122.059097,75475.82380056092,30.657678095434676,6.931036893520167,45.989990234375,9.77318816483243e-06
4517,46.129501,-122.059097,75714.38593769347,32.28221938114439,2.1479190530327497,19.34814453125,9.357033957914967e-07
4518,46.129398,-122.054604,75547.24024933936,29.382478061277652,3.4889382404080345,33.355712890625,1.1505196548816459e-06
4519,46.129501,-122.050201,75365.05015721892,29.498411910943105,9.301092401317883,41.80908203125,7.323170322689243e-07
4520,46.146301,-122.2892,84751.08211895115,101.85242015769472,2.546272203144715,14.495849609375,2.1517474151257952e-06
4521,46.147499,-122.2938,84888.45427867839,111.63085006871552,2.308115032434662,41.046142578125,2.543674491228895e-06
4522,46.147202,-122.297997,85129.76945425254,105.21436817564245,2.507987960380685,15.19775390625,1.6310493819893629e-06
4523,46.149101,-122.3032,85243.17907088569,93.06645378035319,8.353390914148466,10.31494140625,1.1514836120951912e-06
4524,46.150002,-122.307999,85419.38935782998,101.3593490721687,3.2046809093083595,10.25390625,7.747247499821784e-07
4525,46.148399,-122.312798,85801.47281705403,95.9204091483407,2.8817619829353873,9.3994140625,7.983352982579001e-07
4526,46.146599,-122.316803,86158.29681957416,108.38227808964439,2.276021585603566,16.937255859375,7.541010782362132e-07
4527,46.144901,-122.320602,86496.09109240193,115.20734798672493,2.1654833885022735,29.266357421875,1.3455736885171692e-06
4528,46.1432,-122.326202,86928.83973528913,126.37454860964499,5.201968701271889,48.4619140625,1.8545869092905307e-06
4529,46.141102,-122.329498,87273.01672139044,118.45906319505593,9.251102809617533,32.257080078125,3.0098890177442357e-07
4530,46.156399,-122.082497,74133.50255288578,21.16189139749622,2.0743641373567274,20.416259765625,6.203318611646301e-07
4531,46.158298,-122.079803,73843.03038738857,21.782978892268147,7.08238714199199,19.47021484375,3.056733038299239e-07
4532,46.1604,-122.077904,73567.19678470326,22.60956570788403,2.392620784422856,47.271728515625,2.1910488228345e-06
4533,46.162498,-122.074699,73236.71332760717,24.089828426236636,2.337997826787168,27.252197265625,4.6624641521455705e-07
4534,46.164101,-122.0709,72927.55117519469,25.470430589164607,2.29572699558308,34.271240234375,2.856513741863212e-07
4535,46.165001,-122.066704,72667.80159030565,27.69923597968591,5.028043750940446,45.257568359375,4.838924035812797e-07
4536,46.1647,-122.0625,72520.90047566772,37.93137798202224,2.442167912317246,35.430908203125,3.816265870141388e-07
4537,46.165298,-122.058197,72286.61213548532,43.19242344182567,2.539900315998997,15.80810546875,1.303753578915576e-07
4538,46.1646,-122.054298,72191.74602775296,38.35263212134305,7.426399647313043,42.66357421875,2.2594383870960526e-07
4539,46.164501,-122.050102,72029.4234860696,43.96726407545793,8.686699212914915,28.472900390625,2.7864527912706844e-07
4540,46.166,-122.0467,71749.30802944765,38.109483712440124,2.6799934517002937,39.24560546875,5.918523914550714e-07
4543,46.1866,-122.059502,70352.6190267928,98.57233372330666,2.7527331394245373,9.09423828125,3.8841175886448383e-07
4544,46.187599,-122.061501,70345.20803601119,103.59489523460797,3.114490907601688,7.049560546875,5.539966694270835e-07
4545,46.186798,-122.061699,70427.8491690626,97.94326830183854,2.3183139232634424,6.134033203125,3.9777268497271023e-07
4546,46.186199,-122.0634,70555.95133181282,90.70294478532742,9.967468461417834,42.633056640625,4.6648258763524744e-07
4547,46.186798,-122.064796,70560.26381435509,87.82722755036957,9.676998653804016,28.106689453125,8.142568740875539e-07
4548,46.188202,-122.062798,70344.84940231216,107.16844940846204,3.2889448145176834,8.6669921875,4.643775898136792e-07
4549,46.187401,-122.0662,70564.77481963288,82.00181925050856,9.298180574496257,27.099609375,8.932989804488558e-07
4550,46.188,-122.067398,70561.00985121315,81.7321278174204,7.968752011043822,45.5322265625,2.0924528799765885e-06
4551,46.188702,-122.068001,70522.25900074324,80.74142427397601,7.580413738191646,34.820556640625,9.8183462071828e-07
4554,46.188999,-122.063904,70318.57266623579,108.28457909340796,2.675451750475895,5.9814453125,6.536979810802965e-07
4555,46.189201,-122.065498,70368.40875059199,102.68517214027815,2.3964466493018115,6.805419921875,4.953511206294996e-07
4556,46.189999,-122.066597,70342.1346096497,100.8472409054084,9.575726832231375,44.952392578125,1.6100390555777294e-06
4557,46.191002,-122.068001,70310.37848377651,98.81481970379537,3.990672119383325,7.62939453125,9.916090268362116e-07
4558,46.192299,-122.068298,70203.89808945222,103.4535237702512,6.154073740684893,42.877197265625,2.785830211525952e-06
4559,46.168701,-122.043701,71372.12811945532,46.255639158320264,7.25353601045747,43.8232421875,5.718585559293491e-07
4561,46.193901,-122.070099,70134.96608784312,112.56589216494467,9.066392500643541,36.865234375,7.801793037066372e-07
4562,46.195702,-122.072899,70092.19692805957,96.46784274245147,9.484594347670235,40.191650390625,6.638614995949106e-07
4563,46.196899,-122.074402,70048.69440964883,83.49091445114755,7.5098818731346455,43.212890625,6.09827650883011e-07
