station,lat,lon,dist_m,path_length_diff_m,direct_path_length,diffracted_path_length,sta_lta_amp,peak_freq,pre_shot_rms
4044,46.195599,-122.1362,19978.390027026355,40.93943236347695,19977.21126391007,20018.150696273548,1.9830905275386317,13.12255859375,4.2137485647401934e-07
4045,46.196701,-122.139198,19749.88945128546,44.44285472853517,19749.051640862093,19793.49449559063,1.6056727797504868,10.711669921875,4.84482137634107e-07
4046,46.198002,-122.139099,19632.500811107773,42.70833458809284,19631.89718547135,19674.605520059442,3.3100257768674206,36.407470703125,1.2669460852448172e-06
4047,46.199799,-122.138496,19490.74038108473,33.36598906263316,19491.03511534593,19524.401104408564,2.078721483810178,7.720947265625,5.796910147303398e-07
4048,46.200199,-122.135803,19568.95962315803,33.73723121808507,19569.068771113733,19602.806002331818,7.734808463673293,45.318603515625,9.726323779786263e-07
4049,46.2019,-122.135696,19417.063512107827,35.94284669352783,19417.367527475624,19453.310374169152,2.9718531517455125,6.134033203125,4.5683735149941315e-07
4050,46.203499,-122.136597,19231.08523379503,35.73176700979457,19231.6524667084,19267.384233718196,3.49430718231657,5.279541015625,4.484978495400315e-07
4051,46.205502,-122.136902,19034.403397338938,31.442183979193942,19035.430248773097,19066.87243275229,2.58596480840582,7.87353515625,8.506810913511873e-07
4052,46.207802,-122.136703,18833.719402952305,28.95516887796839,18834.895940021823,18863.85110889979,4.088179425007585,6.195068359375,4.826669832959485e-07
4053,46.2099,-122.138,18585.551922379724,27.67139880495961,18587.093099783782,18614.764498588742,4.35437094893212,5.4931640625,4.196121955686731e-07
4054,46.211601,-122.138702,18400.142886138066,25.673688394112105,18402.041771536824,18427.715459930936,6.343330390645648,7.6904296875,4.159959343940302e-07
4055,46.212898,-122.139297,18256.23747058995,24.564450813806616,18258.461802789472,18283.02625360328,2.8611275373719707,7.232666015625,5.121513062124587e-07
4056,46.212799,-122.141899,18148.707565726934,30.06818164060678,18150.84289733611,18180.91107897672,2.7577571791927697,6.04248046875,3.2316833552917467e-07
4057,46.212799,-122.144096,18051.520672667404,34.0052698827858,18054.02536681682,18088.030636699605,2.7884280210973027,7.598876953125,1.0126936117631598e-06
4058,46.212799,-122.146797,17933.508035179486,40.00933833680028,17936.608388468638,17976.617726805438,1.8237597676584203,6.256103515625,3.7067520780518027e-07
4060,46.2146,-122.150803,17594.72633202197,34.715389448581845,17599.01665772072,17633.732047169302,2.12723666545871,6.500244140625,3.246394518140738e-07
4061,46.216202,-122.153603,17326.81817315232,20.758529838505638,17333.97537043405,17354.733900272557,3.2891063783648717,7.537841796875,8.23590599861507e-07
4062,46.217999,-122.153397,17169.438225402628,20.64756716087504,17175.79008739003,17196.437654550904,4.704551304712484,42.755126953125,1.178853296582873e-07
4063,46.219601,-122.1549,16956.95672064132,22.43378699583991,16961.002501710504,16983.436288706343,2.5030116220986836,5.767822265625,3.4172667166189047e-07
4064,46.220699,-122.155998,16808.40409094577,22.279265122495417,16812.69025105436,16834.969516176854,3.3548891671277055,41.351318359375,1.5698888798515296e-07
