station,lat,lon,dist_m,path_length_diff_m,sta_lta_amp
4078,46.229401,-122.174004,25587.91746051847,7.335468669763941,2.529079064315199
4080,46.232899,-122.178101,25528.00970086697,12.658228652016987,2.14523190254922
4081,46.234501,-122.177902,25390.665995499574,14.395234320050804,3.0522076238097204
4082,46.236099,-122.177803,25259.61913550959,17.16056240947728,2.5129159348360957
4083,46.237301,-122.177002,25121.609557590957,18.35523771520093,2.3310189930495175
4084,46.238701,-122.176399,24979.117331309077,19.76258527353275,2.892116762690418
4086,46.238998,-122.175003,24879.316196057076,19.563381276813743,2.4291127252902336
4093,46.237999,-122.202003,26473.54422417676,20.18446011301785,7.209792395978692
4094,46.238098,-122.205002,26639.347359566113,20.164711051187624,2.115635120212423
4095,46.237202,-122.208,26878.80550387444,19.741247813693917,2.0057668723608084
