station,path_length_diff_m
4309,244.74531498888246
4310,247.49202137327302
4311,249.21994890978021
4312,251.19357366169424
4313,94.47585194360363
4314,92.86824826813972
4315,118.00011212706886
4316,126.31297224880836
4318,89.70148892288125
4319,254.1675122770248
4320,257.1655909944093
4321,165.45473419432528
4322,141.41589819582805
4323,126.08836924460411
4324,120.32316736550274
4325,93.64700889183223
4326,85.75469275082287
4327,83.91996032476891
4328,97.65472358641273
4329,99.8575146869116
4330,108.68304813763461
4331,119.29812429858066
4332,133.57543213390454
4333,150.2982655477026
4334,162.02465925168508
4335,170.77912692649625
4336,29.187738187178184
4337,30.22967355271976
4338,34.966204054799164
4339,35.86848179081426
4340,29.31776299536432
4341,51.10973862473111
4342,41.19077004968858
4343,32.541472416625766
4344,31.21862938666891
4345,47.357464631761104
4346,41.232918094217894
4347,30.860072453593602
4348,29.85532776353284
4349,32.60140565388065
4350,40.41838647230179
4351,39.10213723335619
4352,38.39351269396866
4353,40.59694234704875
4354,40.212007868613
4355,43.26047099513016
4356,42.78918732897728
4357,45.63343904228532
4358,45.18310745421695
4359,45.16368506213257
4360,52.271045347792096
4361,52.49297613221279
4362,56.95602742495248
4363,61.91369831603515
4364,58.763978826857056
4365,54.61898073127668
4366,52.7220856322092
4367,52.853102388402476
4369,55.14324190879415
4372,53.31583805482296
4373,44.66944442427484
4374,43.40105672708887
4375,42.62807647331647
4376,41.120417732014175
4377,40.5428525338757
4378,40.660873246328265
4379,42.71741577863577
4380,61.575853806098166
4381,65.2633318998669
4382,65.292309318138
4383,65.67413491653497
4384,65.21649023485224
4386,53.647718681400875
4387,49.51406402300927
4388,40.005104631196446
4389,41.52830891509075
4390,37.65298349465229
4391,37.25709106495924
4392,44.74606948505607
4393,40.08322702327496
4394,36.250361182628694
4395,35.4274435381667
4396,35.91238149131095
4397,37.38469238215475
4399,33.88482773461874
4400,38.17520711069665
4401,37.04899029200169
4402,43.57968890022312
4403,40.34922043246843
4404,39.32011828461691
4405,35.78774705842807
4406,32.26188612503756
4407,31.522518191632116
4408,33.92901476143743
4409,36.14909121326491
4410,38.08236857999873
4411,86.76348956069705
4412,49.81927419954809
4413,25.451538114093637
4414,40.00985571078127
4415,39.51218746278755
4416,31.559987875807565
4417,31.766567889666476
4418,26.45469143088667
4419,33.75287438384839
4420,31.441627856791456
4421,33.16271887218318
4422,37.37996447352998
4423,40.52933085441691
4424,48.65257484644462
4425,52.23226298776717
4426,61.66550900290531
4427,63.9981107023159
4428,66.86889824782338
4429,72.7218295408602
4430,56.47736551044363
4431,63.029416677694826
4432,56.284785677153195
4433,48.70483114351009
4434,33.3253654342534
4435,49.80736266452732
4436,41.12729639002646
4437,28.19663495259556
4438,27.262321389589488
4439,26.43165006691015
4440,26.649239554795713
4441,27.644432069073446
4442,27.5400511574735
4443,27.75215147392737
4444,27.97595750247274
4445,29.920921295195512
4446,34.31988533348158
4447,35.666836835245704
4448,30.770468587610594
4449,27.33701997711978
4450,27.281552347942124
4451,28.877417111612885
4452,40.45588289472471
4453,33.808845880716035
4454,69.07695145107209
4455,62.35733821313261
4456,62.22085391907967
4457,57.901175154074735
4458,61.140232607016515
4459,54.69137076502375
4460,51.92844749390133
4461,57.07350641375524
4463,57.64496183438314
4464,59.5293057759809
4465,74.09808652120773
4466,77.40470519382507
4467,75.327595888215
4468,86.80415732205802
4469,107.49300636481348
4470,121.10698317017523
4471,112.04285746009555
4472,222.3961419652951
4473,203.2996771530852
4474,222.79408785953638
4475,218.31023786374863
4476,215.98889349462115
4477,200.9023206595375
4478,181.7902053914804
4479,173.8662561019155
4480,164.3212802599155
4481,149.1836276491813
4482,131.22226768265682
4483,109.20510199770433
4484,204.63466449617408
4485,208.9619599778016
4486,205.85513521352186
4487,203.33924183123963
4488,201.3291649128987
4489,199.9213059433314
4490,199.6234981499074
4495,198.40828777346178
4496,236.11301047193047
4497,238.63688439870384
4499,170.3341579705666
4500,166.672039578978
4501,164.20796982201136
4502,158.9405021441744
4503,156.2539499638915
4504,153.5871664331571
4505,154.52180547043827
4506,150.32916972060775
4507,153.71645310369058
4508,125.71132795607264
4509,127.96395653704894
4510,130.4119936602183
4511,144.4048941134024
4512,146.2715211474606
4513,148.94640571087075
4514,156.83616033603175
4515,154.74942770699272
4516,144.46082790222863
4517,149.26483858751817
4518,138.82523631074582
4519,134.7104992561326
4520,105.52794499915035
